Player_Name,Matches_Played,Kills,Deaths,Assists,Damage_Dealt,Headshots,Wins,Top_10s,Revives,Distance_Traveled,Weapons_Used,Time_Survived,Rank
StealthMaster,250,587,143,98,15243,234,32,145,67,72560,12,28976,Gold
SniperLion,312,823,218,112,18975,312,42,189,95,89042,15,33652,Diamond
NinjaGamer,186,492,84,56,11786,156,28,97,48,60924,10,21764,Platinum
ThunderStrike,409,923,267,134,21037,288,55,258,128,98234,18,40128,Silver
SpeedDemon,143,368,68,42,9865,123,20,72,36,52072,8,16834,Gold
BlazeFury,288,642,156,74,14238,189,35,129,57,68894,11,27345,Platinum
RapidShadow,201,539,93,68,12689,165,26,89,42,59871,9,21986,Gold
Frostbite,178,421,105,63,10572,147,18,68,39,52590,8,18743,Silver
SavageQueen,332,748,193,122,17654,272,47,211,89,78216,14,32598,Diamond
SwiftStriker,194,511,87,58,13579,182,23,83,51,56978,9,24173,Platinum
VenomousViper,210,566,132,71,13985,187,27,98,46,58647,10,22764,Platinum
PhoenixFury,288,742,188,104,16982,248,41,137,69,66298,12,27846,Diamond
SteelStorm,176,448,83,52,10374,142,18,67,32,49876,8,19632,Silver
BlazingBlade,313,789,211,123,18876,275,44,163,72,72985,13,30745,Diamond
StormChaser,257,674,158,95,15482,212,36,119,58,64279,11,26987,Platinum
Frostbite,197,501,105,64,11634,149,25,85,43,57401,10,21345,Gold
Nightmare,288,713,174,118,16648,236,39,138,64,67845,12,28834,Diamond
CrimsonTide,224,589,124,88,14257,195,31,105,53,59875,11,24167,Platinum
SilentShadow,193,483,99,63,11968,155,22,78,40,53481,10,21856,Gold
VengefulViper,212,576,134,76,14398,197,28,100,50,57698,10,23457,Platinum
SolarFlare,250,641,158,102,15734,221,37,130,61,62892,11,26376,Diamond
SkyDancer,195,502,108,66,12683,169,24,83,42,55581,9,22568,Gold
RogueWraith,267,724,186,119,17092,253,40,146,68,67791,13,28356,Diamond
LethalLynx,223,612,132,87,15234,211,32,111,55,60987,11,25467,Platinum
FrostFang,204,529,104,70,13642,178,29,96,48,57645,10,23589,Gold
ScarletStrider,256,659,159,98,15679,224,35,116,57,63482,11,26346,Platinum
RagingRaptor,271,698,167,111,16589,240,37,130,62,66934,12,27789,Platinum
